Manufacturer,Country,Doses
AstraZeneca,Japan,120000000
AstraZeneca,Canada,23500000
AstraZeneca,India,210000000
AstraZeneca,China,0
AstraZeneca,Brazil,102000000
AstraZeneca,UK,100000000
AstraZeneca,USA,300000000
AstraZeneca,COVAX,721000000
AstraZeneca,EU,300000000
Pfizer,Algeria,0
Pfizer,Bosnia,0
Pfizer,Croatia,0
Pfizer,Cyprus,0
Pfizer,Germany,0
Pfizer,Macao,0
Pfizer,Moldova,0
Pfizer,Paraguay,0
Pfizer,Qatar,0
Pfizer,Russia,0
Pfizer,Singapore,0
Pfizer,Syria,0
Pfizer,San Marino,0
Pfizer,Belarus,0
Pfizer,Mauritius,0
Pfizer,Senegal,0
Pfizer,Somalia,0
Pfizer,Benin,0
Pfizer,Maldives,0
Pfizer,Bahrain,0
Pfizer,Oman,370000
Pfizer,Armenia,0
Pfizer,Jordan,1000000
Pfizer,Kosovo,1200000
Pfizer,North Macedonia,800000
Pfizer,Honduras,0
Pfizer,Albania,500000
Pfizer,Botswana,0
Pfizer,Slovakia,0
Pfizer,Uzbekistan,0
Pfizer,Palestine,0
Pfizer,Zimbabwe,0
Pfizer,Tunisia,2000000
Pfizer,Kazakhstan,0
Pfizer,Lebanon,2000000
Pfizer,United Arab Emirates,0
Pfizer,Cambodia,0
Pfizer,Mongolia,0
Pfizer,Uruguay,2000000
Pfizer,Kuwait,1000000
Pfizer,Panama,5000000
Pfizer,Costa Rica,4000075
Pfizer,Serbia,500000
Pfizer,Iraq,1500000
Pfizer,Hungary,0
Pfizer,Saudi Arabia,3000000
Pfizer,El Salvador,4400000
Pfizer,Azerbaijan,0
Pfizer,Venezuela,0
Pfizer,Hong Kong,7500000
Pfizer,Ecuador,6000000
Pfizer,Guatemala,0
Pfizer,Dominican Republic,7900000
Pfizer,Bolivia,0
Pfizer,Nepal,0
Pfizer,New Zealand,10000000
Pfizer,Pakistan,0
Pfizer,Switzerland,6000000
Pfizer,South Africa,20000000
Pfizer,Bangladesh,0
Pfizer,Myanmar,0
Pfizer,SriLanka,0
Pfizer,Taiwan,30000000
Pfizer,Israel,17000000
Pfizer,Ukraine,20000000
Pfizer,Colombia,10000000
Pfizer,Peru,32000000
Pfizer,Argentina,0
Pfizer,Iran,0
Pfizer,Malaysia,25000000
Pfizer,Vietnam,0
Pfizer,Thailand,0
Pfizer,Chile,10000000
Pfizer,Morocco,0
Pfizer,Egypt,0
Pfizer,Rest,475570075
Pfizer,Latam (w/o Brazil),0
Pfizer,Philippines,40000000
Pfizer,Australia,40000000
Pfizer,South Korea,66000000
Pfizer,Mexico,34400000
Pfizer,Turkey,64500000
Pfizer,Indonesia,0
Pfizer,African Union,50000000
Pfizer,Japan,194000000
Pfizer,Canada,105000000
Pfizer,India,0
Pfizer,China,100000000
Pfizer,Brazil,200000000
Pfizer,UK,100000000
Pfizer,USA,300000000
Pfizer,COVAX,40000000
Pfizer,EU,1550000000
